image_path,cluster_label,row_idx,prob_usable
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090526575_912349010008_18414_0000.png,4,41993,0.028
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090501658_912349010008_17872_0000.png,16,41258,0.028
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090108588_912349010008_7811_0100.png,16,27699,0.028
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/14/cell_1763025253910_912349010008_5122_0100.png,0,17351,0.028
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/49/cell_1763023756132_912349010008_7049_0100.png,0,9676,0.028
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090529590_912349010008_18534_0000.png,9,42149,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/16/cell_1763090167678_912349010008_9360_0000.png,4,29827,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090487780_912349010008_17552_0000.png,4,40823,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/06/cell_1763024800025_912349010008_2259_0000.png,4,13016,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/27/cell_1763022464546_912349010008_1270_0100.png,0,601,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/09/cell_1763024977682_912349010008_3287_0100.png,3,14599,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090159686_912349010008_9185_0100.png,16,29582,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/42/cell_1763023374487_912349010008_4964_0100.png,12,6408,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/27/cell_1763022451491_912349010008_1209_0000.png,0,506,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/39/cell_1763023147223_912349010008_3968_0000.png,15,4834,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/18/cell_1763090334496_912349010008_13593_0000.png,4,35571,0.0289999999999999
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/24/cell_1763090649388_912349010008_22052_0000.png,14,46898,0.029
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090118651_912349010008_8099_0000.png,9,28093,0.029
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/03/cell_1763024629037_912349010008_1174_0100.png,0,11392,0.029
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090117214_912349010008_8051_0100.png,12,28024,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/19/cell_1763090398452_912349010008_15215_0000.png,9,37732,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/27/cell_1763022429936_912349010008_1068_0000.png,0,294,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/23/cell_1763090608810_912349010008_20908_0000.png,12,45351,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/18/cell_1763090337600_912349010008_13680_0000.png,9,35688,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/15/cell_1763090135688_912349010008_8611_0000.png,16,28780,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090526822_912349010008_18426_0000.png,4,42008,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/23/cell_1763090590070_912349010008_20337_0000.png,9,44563,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/48/cell_1763023688802_912349010008_6643_0100.png,0,9048,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/19/cell_1763090357998_912349010008_14187_0100.png,12,36385,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/03/cell_1763024606892_912349010008_958_0000.png,0,11087,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/17/cell_1763090226180_912349010008_10850_0000.png,16,31846,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/50/cell_1763023803562_912349010008_7324_0100.png,4,10085,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/00/49/cell_1763023791723_912349010008_7253_0100.png,12,9978,0.03
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/23/cell_1763090636396_912349010008_21744_0000.png,14,46493,0.031
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/21/cell_1763090474083_912349010008_17128_0100.png,12,40287,0.031
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/19/cell_1763090351770_912349010008_14043_0100.png,16,36182,0.031
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/01/35/cell_1763026508226_912349010008_1340_0000.png,17,21004,0.031
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/12/cell_1763089974052_912349010008_2691_0000.png,16,21161,0.031
/home/wangqianqian/project/FS/data/13JM+CAOV3+MNT1/19/22/cell_1763090535413_912349010008_18759_0000.png,16,42443,0.031
